Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2009;China;19605.02;17885.352;4.751;3.09;3703.26;3714.64;20.86;2911.52;4.381;4.779;25087.559;2980.2;4580.298;3.907;12.12;-0.499;2203.769;10.119;6.188;902.24;859.398;56.56;6.188;187.726;70.05;1719.316;1883.614;2444.37;1339125632.0
2010;China;20340.541;19367.25;3.752;8.286;4173.8;4187.31;24.9;3233.6;6.984;6.203;26643.771;3326.19;5214.49;13.846;14.86;7.137;2361.053;20.671;12.34;1088.74;965.445;77.73;12.34;199.071;74.74;1974.5;2212.766;2724.31;1348191360.0
2011;China;22143.604;21535.068;8.864;11.193;4678.61;4691.35;27.63;3690.87;7.85;8.415;28885.965;3811.77;5390.733;3.38;12.13;-0.068;2359.442;24.146;9.965;1351.629;1061.656;108.77;9.965;230.835;87.2;1898.078;2219.735;3113.16;1357095424.0
2012;China;22422.357;21789.303;1.259;1.181;4956.48;4967.26;30.13;3748.19;4.109;2.421;29585.432;3869.38;5654.299;4.889;10.94;2.269;2412.969;11.626;5.004;1508.776;1114.781;110.25;5.004;258.69;98.32;2365.726;2780.102;3165.32;1366560768.0
2013;China;22902.131;22034.137;2.14;1.124;5397.41;5408.64;37.13;4077.37;3.765;3.187;30528.387;4203.77;5907.47;4.477;10.01;1.196;2441.827;13.919;9.269;1718.785;1218.107;116.39;9.269;291.608;111.5;2479.073;3032.571;3441.11;1376100352.0
2014;China;22804.703;21680.762;-0.425;-1.604;5756.9;5768.31;46.27;4203.06;2.59;0.991;30830.85;4345.86;6142.517;3.979;9.52;0.7;2458.919;9.591;7.692;1883.631;1311.808;133.28;7.692;346.318;133.22;2870.808;3552.34;3559.04;1385189632.0
2015;China;22329.041;21273.957;-2.086;-1.876;5775.36;5787.8;54.07;4046.17;1.167;0.178;30885.832;4222.76;6609.896;7.609;9.68;1.481;2495.333;3.359;3.421;1946.895;1356.689;166.91;3.421;442.87;171.38;3001.359;3806.155;3451.62;1393715456.0
2016;China;21675.779;19671.232;-2.926;-7.534;6078.25;6090.97;62.13;4156.35;0.408;-0.946;30593.768;4355.0;6823.578;3.233;10.37;-6.933;2322.336;7.577;1.675;2094.411;1379.416;188.28;1.675;547.629;213.18;3087.34;4136.883;3558.1;1401889664.0
2017;China;21915.443;20326.109;1.106;3.329;6545.21;6558.26;79.6;4430.03;3.887;2.999;31511.137;4643.1;7183.172;5.27;9.87;-4.096;2227.215;15.189;8.161;2412.522;1491.995;203.2;8.161;633.589;248.1;3100.576;4504.977;3797.35;1410275968.0
2018;China;22352.146;21352.949;1.993;5.052;7105.38;7120.6;93.73;4763.92;4.819;3.856;32726.068;4990.28;7534.662;4.893;10.86;-1.139;2201.838;17.688;8.19;2839.26;1614.188;215.5;8.19;748.955;295.0;3171.928;4940.908;4085.99;1417069440.0
